Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,43,48.8,177698.3356,2500798.291,0.009,0,264.691,,,,,,,,,,,
4,43,49,177698.3356,2500798.291,0.019,185.653,264.793,,,,,,,,,,,
4,43,49.2,177698.3356,2500798.291,0.027,192.474,264.812,,,,,,,,,,,
4,43,49.4,177698.3355,2500798.291,0.022,166.653,264.606,,,,,,,,,,,
4,43,49.6,177698.3355,2500798.291,0.016,208.317,264.668,,,,,,,,,,,
4,43,49.8,177698.3355,2500798.291,0.022,171.27,264.528,,,,,,,,,,,
4,43,50,177698.3355,2500798.292,0.022,232.498,264.811,,,,,,,,,,,
4,43,50.2,177698.3355,2500798.292,0.014,238.654,264.573,,,,,,,,,,,
4,43,50.4,177698.3354,2500798.292,0.009,0,264.5,,,,,,,,,,,
4,43,50.6,177698.3354,2500798.292,0.007,0,264.642,,,,,,,,,,,
4,43,50.8,177698.3354,2500798.292,0.011,343.618,264.544,,,,,,,,,,,
4,43,51,177698.3354,2500798.292,0.011,23.667,264.611,,,,,,,,,,,
4,43,51.2,177698.3353,2500798.292,0.008,0,264.768,,,,,,,,,,,
4,43,51.4,177698.3353,2500798.292,0.013,268.53,264.887,,,,,,,,,,,
4,43,51.6,177698.3353,2500798.292,0.009,0,264.895,,,,,,,,,,,
4,43,51.8,177698.3353,2500798.292,0.015,267.993,264.757,,,,,,,,,,,
4,43,52,177698.3352,2500798.293,0.01,0,264.723,,,,,,,,,,,
4,43,52.2,177698.3352,2500798.293,0.01,280.957,264.889,,,,,,,,,,,
4,43,52.4,177698.3352,2500798.293,0.018,322.641,264.935,,,,,,,,,,,
4,43,52.6,177698.3352,2500798.293,0.007,0,264.756,,,,,,,,,,,
4,43,52.8,177698.3351,2500798.293,0.01,14.796,264.869,,,,,,,,,,,
4,43,53,177698.3351,2500798.293,0.014,221.998,264.727,,,,,,,,,,,
4,43,53.2,177698.3351,2500798.293,0.009,0,264.804,,,,,,,,,,,
4,43,53.4,177698.335,2500798.293,0.017,256.916,264.839,,,,,,,,,,,
4,43,53.6,177698.335,2500798.293,0.016,234.714,264.847,,,,,,,,,,,
4,43,53.8,177698.335,2500798.294,0.011,206.084,264.799,,,,,,,,,,,
4,43,54,177698.3349,2500798.294,0.012,149.544,264.711,,,,,,,,,,,
4,43,54.2,177698.3349,2500798.294,0.015,161.356,264.659,,,,,,,,,,,
4,43,54.4,177698.3349,2500798.294,0.031,158.076,264.529,,,,,,,,,,,
4,43,54.6,177698.3348,2500798.294,0.02,176.206,264.712,,,,,,,,,,,
4,43,54.8,177698.3348,2500798.294,0.025,200.797,264.608,,,,,,,,,,,
4,43,55,177698.3348,2500798.294,0.016,216.964,264.609,,,,,,,,,,,
4,43,55.2,177698.3348,2500798.294,0.004,0,264.421,,,,,,,,,,,
4,43,55.4,177698.3347,2500798.294,0.025,337.792,264.491,,,,,,,,,,,
4,43,55.6,177698.3347,2500798.295,0.022,344.93,264.443,,,,,,,,,,,
4,43,55.8,177698.3347,2500798.295,0.021,340.375,264.448,,,,,,,,,,,
