Hour,Minute,Second,Lon,Lat
04,43,55.20,177698.3347517,2500798.2943387
04,43,55.40,177698.3347179,2500798.2944496
04,43,55.60,177698.3346841,2500798.294542
04,43,55.80,177698.3346503,2500798.2946529
04,43,56.00,177698.3346166,2500798.2947638
04,43,56.00,177698.3346166,2500798.2947638
04,43,56.20,177698.3345828,2500798.2948747
04,43,56.40,177698.3345492,2500798.2950041
04,43,56.60,177698.3345326,2500798.2951149
04,43,56.80,177698.3344988,2500798.2952258
04,43,57.00,177698.3344651,2500798.2953551
04,43,57.00,177698.3344651,2500798.2953551
04,43,57.20,177698.3344314,2500798.295466
04,43,57.40,177698.3343977,2500798.2955769
04,43,57.60,177698.334381,2500798.2956877
04,43,57.80,177698.3343473,2500798.2957986
04,43,58.00,177698.3343135,2500798.2959095
04,43,58.00,177698.3343135,2500798.2959095
04,43,58.20,177698.3342797,2500798.296002
04,43,58.40,177698.3342631,2500798.2961128
04,43,58.60,177698.3342293,2500798.2962237
04,43,58.80,177698.3341956,2500798.2963346
04,43,59.00,177698.3341618,2500798.2964455
04,43,59.00,177698.3341618,2500798.2964455
04,43,59.20,177698.3341281,2500798.2965564
04,43,59.40,177698.3340944,2500798.2966673
04,43,59.60,177698.3340606,2500798.2967782
04,43,59.80,177698.3340269,2500798.2968891
04,44,00.00,177698.3339931,2500798.297
04,44,00.00,177698.3339931,2500798.297
04,44,00.20,177698.3339594,2500798.2971293
04,44,00.40,177698.3339257,2500798.2972402
04,44,00.60,177698.3338919,2500798.2973511
04,44,00.80,177698.3338582,2500798.297462
04,44,01.00,177698.3338245,2500798.2975913
04,44,01.00,177698.3338245,2500798.2975913
04,44,01.20,177698.3338079,2500798.2977022
04,44,01.40,177698.3337742,2500798.297813
04,44,01.60,177698.3337405,2500798.2979424
04,44,01.80,177698.3337239,2500798.2980532
04,44,02.00,177698.3336902,2500798.2981641
04,44,02.00,177698.3336902,2500798.2981641
04,44,02.20,177698.3336564,2500798.298275
04,44,02.40,177698.3336398,2500798.2983858
04,44,02.60,177698.3336232,2500798.2984966
04,44,02.80,177698.3335894,2500798.2986075
04,44,03.00,177698.3335728,2500798.2987183
04,44,03.00,177698.3335728,2500798.2987183
04,44,03.20,177698.3335562,2500798.2988292
04,44,03.40,177698.3335397,2500798.2989584
04,44,03.60,177698.3335231,2500798.2990692
04,44,03.80,177698.3335065,2500798.2991801
04,44,04.00,177698.3334899,2500798.2993093
04,44,04.00,177698.3334899,2500798.2993093
04,44,04.20,177698.3334562,2500798.2994202
04,44,04.40,177698.3334396,2500798.299531
04,44,04.60,177698.333423,2500798.2996603
04,44,04.80,177698.3333893,2500798.2997712
04,44,05.00,177698.3333727,2500798.299882
04,44,05.00,177698.3333727,2500798.299882
04,44,05.20,177698.3333562,2500798.3000113
04,44,05.40,177698.3333224,2500798.3001222
04,44,05.60,177698.3333058,2500798.300233
04,44,05.80,177698.333272,2500798.3003439
04,44,06.00,177698.3332555,2500798.3004732
04,44,06.00,177698.3332555,2500798.3004732
04,44,06.20,177698.3332389,2500798.300584
04,44,06.40,177698.3332223,2500798.3006948
04,44,06.60,177698.3332057,2500798.3008056
04,44,06.80,177698.3331892,2500798.3009349
04,44,07.00,177698.3331725,2500798.3010457
04,44,07.00,177698.3331725,2500798.3010457
04,44,07.20,177698.333156,2500798.3011749
04,44,07.40,177698.3331394,2500798.3012858
04,44,07.60,177698.3331228,2500798.3013966
04,44,07.80,177698.3331063,2500798.3015258
04,44,08.00,177698.3331069,2500798.301655
04,44,08.00,177698.3331069,2500798.301655
04,44,08.20,177698.3331075,2500798.3017842
04,44,08.40,177698.3331081,2500798.3019134
04,44,08.60,177698.3331088,2500798.3020611
04,44,08.80,177698.3331094,2500798.3021902
04,44,09.00,177698.33311,2500798.3023194
04,44,09.00,177698.33311,2500798.3023194
04,44,09.20,177698.3331106,2500798.3024486
04,44,09.40,177698.3331112,2500798.3025778
04,44,09.60,177698.3331118,2500798.302707
04,44,09.80,177698.3331124,2500798.3028362
04,44,10.00,177698.333113,2500798.3029654
